@relation miml_birds.arff_arithmetic_transformation

@attribute id {1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255,256,257,258,259,260,261,262,263,264,265,266,267,268,269,270,271,272,273,274,275,276,277,278,279,280,281,282}
@attribute f1 numeric
@attribute f2 numeric
@attribute f3 numeric
@attribute f4 numeric
@attribute f5 numeric
@attribute f6 numeric
@attribute f7 numeric
@attribute f8 numeric
@attribute f9 numeric
@attribute f10 numeric
@attribute f11 numeric
@attribute f12 numeric
@attribute f13 numeric
@attribute f14 numeric
@attribute f15 numeric
@attribute f16 numeric
@attribute f17 numeric
@attribute f18 numeric
@attribute f19 numeric
@attribute f20 numeric
@attribute f21 numeric
@attribute f22 numeric
@attribute f23 numeric
@attribute f24 numeric
@attribute f25 numeric
@attribute f26 numeric
@attribute f27 numeric
@attribute f28 numeric
@attribute f29 numeric
@attribute f30 numeric
@attribute f31 numeric
@attribute f32 numeric
@attribute f33 numeric
@attribute f34 numeric
@attribute f35 numeric
@attribute f36 numeric
@attribute f37 numeric
@attribute f38 numeric
@attribute BRCR {0,1}
@attribute PAWR {0,1}
@attribute PSFL {0,1}
@attribute RBNU {0,1}
@attribute DEJU {0,1}
@attribute OSFL {0,1}
@attribute HETH {0,1}
@attribute CBCH {0,1}
@attribute VATH {0,1}
@attribute HEWA {0,1}
@attribute SWTH {0,1}
@attribute HAFL {0,1}
@attribute WETA {0,1}
@attribute BHGB {0,1}
@attribute GCKI {0,1}
@attribute WAVI {0,1}
@attribute MGWA {0,1}
@attribute STJA {0,1}
@attribute CONI {0,1}

@data
3,0.971993,0.919142,0.641943,0.498588,0.002546,0.063349,0.000016,0.002499,0.000021,0.008605,0.633183,0.353587,25.067153,9.041003,140.461538,187.230769,46.769231,16.384615,595.076923,111.615385,21.609454,0.782872,0.234587,0.057405,0.044475,0.024486,0.02499,0.038171,0.035762,0.074054,0.152758,0.052518,0.035122,0.036603,0.015613,0.03379,0.027275,0.112393,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
5,0.978152,0.944905,0.649298,0.470522,0.010351,0.059899,-0.00034,0.0029,0.000368,0.008082,0.675202,0.355511,28.369945,13.331279,117.176471,208.823529,91.647059,27.235294,2097.176471,228.294118,28.316766,0.738617,0.2547,0.069176,0.027668,0.033753,0.02348,0.016891,0.031491,0.095415,0.126679,0.075803,0.041199,0.046081,0.018625,0.024717,0.034378,0.079945,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0
6,0.959858,0.951359,0.373985,0.474412,0.000797,0.060561,-0.000004,0.002511,0.000001,0.007916,0.4,0.401905,24.282054,10.610636,81,109,28,24,522,96.5,17.966501,0.773402,0.083082,0.010499,0.004465,0.037531,0.11193,0.102255,0.034059,0.043812,0.031496,0.02166,0.03282,0.118788,0.076631,0.063239,0.051832,0.175906,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
8,0.961645,0.926293,0.763239,0.522791,0.001307,0.063263,0.000018,-0.000664,0.000005,0.00913,0.75508,0.467736,25.502768,11.047664,179.454545,213.090909,33.636364,17.181818,394.545455,91.545455,22.057949,0.705436,0.124723,0.027015,0.021638,0.026344,0.066241,0.074433,0.058812,0.0812,0.109573,0.052504,0.03031,0.045219,0.017586,0.034045,0.078951,0.151407,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0.970499,0.956404,0.465901,0.513339,0.004446,0.061906,0.000166,-0.000488,0.000152,0.008274,0.453813,0.544553,24.778302,9.887283,92.222222,148,55.777778,37.5,1615.222222,217.833333,33.333434,0.620505,0.111104,0.05998,0.053924,0.037433,0.042815,0.058102,0.047554,0.057192,0.099686,0.053066,0.044033,0.064548,0.046829,0.065696,0.07029,0.087749,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
13,0.96955,0.91821,0.712419,0.534478,0.001518,0.067561,-0.000011,-0.000935,0.000005,0.009726,0.733333,0.458941,25.766702,9.718303,162.25,199.125,36.875,16.5,407.125,98.75,25.693832,0.691071,0.228392,0.091495,0.021722,0.027856,0.03864,0.028829,0.032365,0.072018,0.154951,0.066705,0.050307,0.031037,0.033797,0.034008,0.020564,0.067313,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,0.954078,0.906955,0.947059,0.512867,0.000567,0.065651,0.000001,0.001739,0.000001,0.009185,0.941177,0.393939,25.966718,11.586776,229.5,253,23.5,12.5,248,54.5,12.259856,0.840216,0.154383,0.032786,0.036983,0.03336,0.026688,0.032786,0.154604,0.061948,0.102156,0.032211,0.028986,0.030886,0.020016,0.019442,0.036232,0.196536,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,0.969436,0.974807,0.566013,0.505862,0.002336,0.069825,0.000012,-0.000173,0.000021,0.009701,0.563235,0.380796,24.778058,11.449308,122,168.375,46.375,71.75,1773.25,269.25,43.560384,0.502073,0.068244,0.040305,0.068628,0.071242,0.071468,0.072826,0.055706,0.043577,0.033192,0.055322,0.060625,0.102073,0.064285,0.073052,0.055782,0.063673,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
18,0.95859,0.931903,0.735903,0.504301,0.001061,0.07107,0.000003,0.000738,0.000003,0.010497,0.738095,0.481553,25.262863,9.694919,172.857143,203.285714,30.428571,20.928571,461.428571,97.071429,21.735079,0.741511,0.122561,0.061915,0.034404,0.045822,0.069455,0.055116,0.06801,0.068425,0.11513,0.053539,0.019928,0.04531,0.05373,0.04467,0.056265,0.085721,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,0.94434,0.940126,0.698233,0.492201,0.000473,0.071475,0,0.00196,0.000001,0.010247,0.694118,0.596817,23.780748,9.037481,167,188.5,21.5,22,334.5,76,17.51875,0.787385,0.115338,0.079469,0.023334,0.025604,0.068016,0.145767,0.034806,0.009734,0.062801,0.012536,0.009203,0.090144,0.09362,0.124295,0.048671,0.056667,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
