@relation miml_birds.arff_geometric_transformation

@attribute id {1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255,256,257,258,259,260,261,262,263,264,265,266,267,268,269,270,271,272,273,274,275,276,277,278,279,280,281,282}
@attribute f1 numeric
@attribute f2 numeric
@attribute f3 numeric
@attribute f4 numeric
@attribute f5 numeric
@attribute f6 numeric
@attribute f7 numeric
@attribute f8 numeric
@attribute f9 numeric
@attribute f10 numeric
@attribute f11 numeric
@attribute f12 numeric
@attribute f13 numeric
@attribute f14 numeric
@attribute f15 numeric
@attribute f16 numeric
@attribute f17 numeric
@attribute f18 numeric
@attribute f19 numeric
@attribute f20 numeric
@attribute f21 numeric
@attribute f22 numeric
@attribute f23 numeric
@attribute f24 numeric
@attribute f25 numeric
@attribute f26 numeric
@attribute f27 numeric
@attribute f28 numeric
@attribute f29 numeric
@attribute f30 numeric
@attribute f31 numeric
@attribute f32 numeric
@attribute f33 numeric
@attribute f34 numeric
@attribute f35 numeric
@attribute f36 numeric
@attribute f37 numeric
@attribute f38 numeric
@attribute BRCR {0,1}
@attribute PAWR {0,1}
@attribute PSFL {0,1}
@attribute RBNU {0,1}
@attribute DEJU {0,1}
@attribute OSFL {0,1}
@attribute HETH {0,1}
@attribute CBCH {0,1}
@attribute VATH {0,1}
@attribute HEWA {0,1}
@attribute SWTH {0,1}
@attribute HAFL {0,1}
@attribute WETA {0,1}
@attribute BHGB {0,1}
@attribute GCKI {0,1}
@attribute WAVI {0,1}
@attribute MGWA {0,1}
@attribute STJA {0,1}
@attribute CONI {0,1}

@data
3,0.964188,0.917117,0.575607,0.482478,0.003655,0.063057,0.000034,0.003222,0.000052,0.008606,0.596079,0.372257,25.186994,9.080474,133,170.5,52.5,19.5,728.5,142,25.835102,0.7715,0.209662,0.056292,0.095505,0.033708,0.05618,0.129472,0.042945,0.090757,0.156535,0.065154,0.041354,0.070673,0.018999,0.112808,0.040234,0.118984,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
5,0.960834,0.91321,0.618376,0.516943,0.013534,0.062867,-0.000724,-0.000961,0.000657,0.008636,0.623529,0.5,28.293416,12.914225,140,174.5,87,26,2193,229.5,31.093291,0.724886,0.232246,0.092636,0.035715,0.109489,0.07483,0.032847,0.03125,0.087918,0.1053,0.112546,0.061729,0.108844,0.047446,0.087591,0.061729,0.073607,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0
6,0.959858,0.951359,0.373985,0.474412,0.000797,0.060561,-0.000004,0.002511,0.000001,0.007916,0.4,0.401905,24.282054,10.610636,81,109,28,24,522,96.5,17.966501,0.773402,0.083082,0.010499,0.004465,0.037531,0.11193,0.102255,0.034059,0.043812,0.031496,0.02166,0.03282,0.118788,0.076631,0.063239,0.051832,0.175906,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
8,0.960682,0.926985,0.781117,0.545308,0.001567,0.063442,0.00003,-0.001967,0.000009,0.009333,0.77451,0.531579,25.547059,11.478119,186.5,216,35.5,20.5,545,103.5,25.110502,0.689538,0.169243,0.034984,0.030387,0.036765,0.096154,0.075222,0.055563,0.115446,0.106702,0.072793,0.048129,0.085636,0.024862,0.042439,0.091715,0.155313,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0.97164,0.958063,0.46331,0.518072,0.012519,0.058987,0.00107,-0.000403,0.000671,0.007886,0.460785,0.477661,25.347122,9.395788,96.5,160.5,92,65.5,5230,509.5,51.05527,0.601835,0.126446,0.065373,0.060076,0.062014,0.074797,0.066929,0.044379,0.094054,0.124944,0.096467,0.051887,0.095974,0.06461,0.111234,0.12783,0.112525,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
13,0.969313,0.920125,0.709608,0.528505,0.00164,0.072228,-0.000028,-0.000598,0.000007,0.010466,0.705883,0.492425,25.732966,9.369606,163,197.5,37,18.5,381.5,118.5,40.694898,0.651968,0.227561,0.089114,0.021506,0.035342,0.065128,0.056548,0.050595,0.097458,0.16738,0.109628,0.057883,0.026946,0.049219,0.031792,0.021654,0.111847,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,0.954078,0.906955,0.947059,0.512867,0.000567,0.065651,0.000001,0.001739,0.000001,0.009185,0.941177,0.393939,25.966718,11.586776,229.5,253,23.5,12.5,248,54.5,12.259856,0.840216,0.154383,0.032786,0.036983,0.03336,0.026688,0.032786,0.154604,0.061948,0.102156,0.032211,0.028986,0.030886,0.020016,0.019442,0.036232,0.196536,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,0.967222,0.972408,0.575035,0.49817,0.003972,0.069188,0.000021,0.000427,0.000056,0.010009,0.578432,0.403541,24.926567,10.638745,128,164.5,54.5,106.5,3456.5,434.5,55.14528,0.566992,0.059403,0.039539,0.066282,0.083157,0.074095,0.073998,0.074342,0.089936,0.035016,0.067654,0.065934,0.10847,0.065211,0.085549,0.061067,0.065146,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
18,0.943148,0.931695,0.753429,0.458757,0.001432,0.075161,0.000008,0.003579,0.000007,0.011874,0.743138,0.478948,25.025723,9.912915,181.5,200.5,30,30.5,708,157.5,33.025411,0.699735,0.117154,0.098425,0.057018,0.053334,0.143746,0.070319,0.12,0.103089,0.125693,0.077398,0.030365,0.071617,0.098952,0.067025,0.063772,0.079208,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,0.94434,0.940126,0.698233,0.492201,0.000473,0.071475,0,0.00196,0.000001,0.010247,0.694118,0.596817,23.780748,9.037481,167,188.5,21.5,22,334.5,76,17.51875,0.787385,0.115338,0.079469,0.023334,0.025604,0.068016,0.145767,0.034806,0.009734,0.062801,0.012536,0.009203,0.090144,0.09362,0.124295,0.048671,0.056667,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,0.933626,0.954441,0.360501,0.488611,0.000405,0.074114,0.000004,0.000609,0.000001,0.010919,0.362745,0.457071,24.451931,12.581042,81.5,104,20.5,24.5,356,78,17.409759,0.832588,0.028819,0.015404,0.009375,0.04959,0.175396,0.181616,0.072101,0.016727,0.038195,0.018243,0.021875,0.075916,0.122801,0.128932,0.101881,0.046065,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
23,0.95307,0.900314,0.365458,0.580675,0.000705,0.06927,-0.000006,-0.004455,0.000001,0.010562,0.356863,0.619658,25.479972,12.377513,80,104.5,24.5,12,181.5,60.5,20.206404,0.622084,0.082983,0.053572,0.11187,0.039916,0.023109,0.046218,0.029412,0.109244,0.077206,0.03624,0.042017,0.063025,0.034664,0.054622,0.065126,0.130777,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
