@relation miml_birds.arff_minimax_transformation

@attribute id {1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255,256,257,258,259,260,261,262,263,264,265,266,267,268,269,270,271,272,273,274,275,276,277,278,279,280,281,282}
@attribute min_f1 numeric
@attribute min_f2 numeric
@attribute min_f3 numeric
@attribute min_f4 numeric
@attribute min_f5 numeric
@attribute min_f6 numeric
@attribute min_f7 numeric
@attribute min_f8 numeric
@attribute min_f9 numeric
@attribute min_f10 numeric
@attribute min_f11 numeric
@attribute min_f12 numeric
@attribute min_f13 numeric
@attribute min_f14 numeric
@attribute min_f15 numeric
@attribute min_f16 numeric
@attribute min_f17 numeric
@attribute min_f18 numeric
@attribute min_f19 numeric
@attribute min_f20 numeric
@attribute min_f21 numeric
@attribute min_f22 numeric
@attribute min_f23 numeric
@attribute min_f24 numeric
@attribute min_f25 numeric
@attribute min_f26 numeric
@attribute min_f27 numeric
@attribute min_f28 numeric
@attribute min_f29 numeric
@attribute min_f30 numeric
@attribute min_f31 numeric
@attribute min_f32 numeric
@attribute min_f33 numeric
@attribute min_f34 numeric
@attribute min_f35 numeric
@attribute min_f36 numeric
@attribute min_f37 numeric
@attribute min_f38 numeric
@attribute max_f1 numeric
@attribute max_f2 numeric
@attribute max_f3 numeric
@attribute max_f4 numeric
@attribute max_f5 numeric
@attribute max_f6 numeric
@attribute max_f7 numeric
@attribute max_f8 numeric
@attribute max_f9 numeric
@attribute max_f10 numeric
@attribute max_f11 numeric
@attribute max_f12 numeric
@attribute max_f13 numeric
@attribute max_f14 numeric
@attribute max_f15 numeric
@attribute max_f16 numeric
@attribute max_f17 numeric
@attribute max_f18 numeric
@attribute max_f19 numeric
@attribute max_f20 numeric
@attribute max_f21 numeric
@attribute max_f22 numeric
@attribute max_f23 numeric
@attribute max_f24 numeric
@attribute max_f25 numeric
@attribute max_f26 numeric
@attribute max_f27 numeric
@attribute max_f28 numeric
@attribute max_f29 numeric
@attribute max_f30 numeric
@attribute max_f31 numeric
@attribute max_f32 numeric
@attribute max_f33 numeric
@attribute max_f34 numeric
@attribute max_f35 numeric
@attribute max_f36 numeric
@attribute max_f37 numeric
@attribute max_f38 numeric
@attribute BRCR {0,1}
@attribute PAWR {0,1}
@attribute PSFL {0,1}
@attribute RBNU {0,1}
@attribute DEJU {0,1}
@attribute OSFL {0,1}
@attribute HETH {0,1}
@attribute CBCH {0,1}
@attribute VATH {0,1}
@attribute HEWA {0,1}
@attribute SWTH {0,1}
@attribute HAFL {0,1}
@attribute WETA {0,1}
@attribute BHGB {0,1}
@attribute GCKI {0,1}
@attribute WAVI {0,1}
@attribute MGWA {0,1}
@attribute STJA {0,1}
@attribute CONI {0,1}

@data
3,0.941444,0.87115,0.397784,0.427508,0.000328,0.052518,-0.000013,-0.000336,0,0.006345,0.403922,0.227273,23.310722,7.340112,91,111,19,9,232,70,14.285714,0.678295,0.016854,0,0.006135,0,0,0.006135,0,0.005618,0.022472,0.008403,0,0.006515,0.00381,0.006515,0.007619,0.02809,0.986931,0.963083,0.753429,0.537447,0.006982,0.073596,0.000081,0.006779,0.000103,0.010867,0.788235,0.517241,27.063267,10.820836,175,230,86,30,1225,214,37.384491,0.864706,0.402469,0.112583,0.184874,0.067416,0.11236,0.252809,0.08589,0.175896,0.290598,0.121905,0.082707,0.134831,0.034188,0.219101,0.072848,0.209877,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
5,0.928866,0.856741,0.395562,0.36276,0.000233,0.046394,-0.001458,-0.011403,0,0.004927,0.368627,0,22.964169,7.273309,74,109,16,9,202,51,12.211267,0.562271,0.029197,0.004237,0,0,0,0,0,0.010582,0.043103,0.013228,0,0,0,0,0,0.012346,0.992801,0.969678,0.84119,0.671125,0.026834,0.079339,0.000011,0.00948,0.001313,0.012344,0.878431,1,33.622662,18.555141,206,240,158,43,4184,408,49.975315,0.8875,0.435294,0.181034,0.071429,0.218978,0.14966,0.065693,0.0625,0.165254,0.167496,0.211864,0.123457,0.217687,0.094891,0.175182,0.123457,0.134868,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0
6,0.958743,0.946122,0.371593,0.473081,0.000793,0.057903,-0.000004,0.002314,0.000001,0.007388,0.4,0.28,23.881058,10.23594,80,109,27,22,454,92,17.289831,0.76431,0.045627,0.007605,0,0.030418,0.098859,0.071429,0.019011,0.026786,0.022814,0.007605,0.007605,0.089286,0.068441,0.058036,0.045627,0.116071,0.960972,0.956596,0.376377,0.475743,0.0008,0.063218,-0.000003,0.002708,0.000001,0.008443,0.4,0.52381,24.68305,10.985332,82,109,29,26,590,101,18.643171,0.782493,0.120536,0.013393,0.008929,0.044643,0.125,0.13308,0.049107,0.060837,0.040179,0.035714,0.058036,0.148289,0.084821,0.068441,0.058036,0.235741,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
8,0.943281,0.902905,0.669402,0.462521,0.000349,0.05097,-0.000001,-0.010365,0,0.006249,0.647059,0.263158,24.355556,9.697242,155,193,19,14,241,62,14.237037,0.53125,0.058824,0.005797,0,0,0,0.011407,0.022727,0.017964,0.022099,0.004902,0,0,0,0.007605,0.007605,0.095057,0.978083,0.951064,0.892832,0.628094,0.002785,0.075913,0.000061,0.006431,0.000018,0.012417,0.901961,0.8,26.738562,13.258996,218,239,52,27,849,145,35.983967,0.847826,0.279661,0.064171,0.060773,0.073529,0.192308,0.139037,0.088398,0.212928,0.191304,0.140684,0.096257,0.171271,0.049724,0.077273,0.175824,0.215569,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0.950812,0.928506,0.34168,0.439112,0.000473,0.037278,-0.00007,-0.00755,0,0.004826,0.329412,0.137931,23.02356,7.127265,59,100,23,15,257,61,12.160131,0.316713,0.025478,0.012821,0.009479,0.015748,0.015837,0,0,0.007874,0.014218,0.009132,0,0.012461,0.013834,0.013834,0.018692,0.015748,0.992468,0.987619,0.58494,0.597031,0.024565,0.080696,0.002209,0.006744,0.001341,0.010945,0.592157,0.817391,27.670685,11.664311,134,221,161,116,10203,958,89.950409,0.886957,0.227414,0.117925,0.110672,0.10828,0.133758,0.133858,0.088757,0.180233,0.235669,0.183801,0.103774,0.179487,0.115385,0.208633,0.236967,0.209302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
13,0.960784,0.894085,0.663524,0.440788,0.000798,0.056929,-0.000062,-0.008925,0.000001,0.007655,0.627451,0.166667,24.908922,8.346547,151,183,27,12,225,70,15.768617,0.494912,0.11828,0.011561,0,0.005208,0.011976,0,0,0.021505,0.095238,0.004202,0.016807,0,0.005952,0,0,0.005208,0.977842,0.946166,0.755692,0.616221,0.002482,0.087526,0.000006,0.007729,0.000012,0.013276,0.784314,0.818182,26.557009,10.392665,175,212,47,25,538,167,65.621178,0.809023,0.336842,0.166667,0.043011,0.065476,0.11828,0.113095,0.10119,0.17341,0.239521,0.215054,0.098958,0.053892,0.092486,0.063584,0.043307,0.218487,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,0.949626,0.903935,0.939966,0.509358,0.000445,0.064973,0,0.001355,0,0.008699,0.937255,0.333333,25.313364,10.581849,229,251,22,12,217,53,10.0681,0.82197,0.101449,0.028986,0.030488,0.030488,0.02439,0.028986,0.128049,0.050725,0.057971,0.021739,0,0.018293,0.018293,0.014493,0,0.182927,0.95853,0.909975,0.954152,0.516376,0.000689,0.066328,0.000001,0.002123,0.000001,0.009671,0.945098,0.454545,26.620071,12.591703,230,255,25,13,279,56,14.451612,0.858462,0.207317,0.036585,0.043478,0.036232,0.028986,0.036585,0.181159,0.073171,0.146341,0.042683,0.057971,0.043478,0.021739,0.02439,0.072464,0.210145,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,0.947694,0.951352,0.314492,0.439505,0.000452,0.053503,-0.000015,-0.005176,0,0.007099,0.317647,0.076923,24.004494,8.131905,65,92,22,23,445,103,19.573801,0.339262,0.009217,0,0.028112,0.051107,0.043771,0.031301,0.020737,0.011521,0.017036,0.010101,0.003367,0.030303,0.043771,0.026316,0.013699,0.039384,0.98675,0.993463,0.835578,0.556836,0.007493,0.084872,0.000056,0.006031,0.000112,0.012919,0.839216,0.730159,25.848639,13.145584,191,237,87,190,6468,766,90.716759,0.794721,0.109589,0.079077,0.104452,0.115207,0.104418,0.116695,0.127946,0.16835,0.052995,0.125206,0.128501,0.186636,0.086651,0.144781,0.108434,0.090909,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
18,0.907968,0.887838,0.611433,0.350526,0.000132,0.050399,-0.000025,-0.004069,0,0.006872,0.592157,0.157895,23.260536,7.310906,141,167,12,10,169,53,11.003509,0.480114,0.013333,0,0,0,0.007491,0.010638,0,0.004049,0.026667,0.013333,0,0.009901,0.011236,0.004049,0.017544,0,0.978327,0.975552,0.895424,0.566987,0.002732,0.099923,0.000042,0.011227,0.000014,0.016875,0.894118,0.8,26.790909,12.514923,222,234,48,51,1247,262,55.047314,0.919355,0.220974,0.19685,0.114035,0.106667,0.28,0.13,0.24,0.202128,0.224719,0.141463,0.060729,0.133333,0.186667,0.13,0.11,0.158416,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,0.928693,0.917682,0.69679,0.462232,0.000222,0.068177,0,0.001832,0,0.009707,0.682353,0.538462,22.927954,8.632958,164,186,16,14,322,64,12.720497,0.722917,0.030675,0.01227,0,0.02454,0.013333,0.04,0.026667,0.006135,0.01227,0.006667,0,0.07362,0.04,0.04,0.030675,0,0.959987,0.962569,0.699676,0.522169,0.000724,0.074773,0,0.002088,0.000001,0.010787,0.705882,0.655172,24.633541,9.442003,170,191,27,30,347,88,22.317003,0.851852,0.2,0.146667,0.046667,0.026667,0.122699,0.251534,0.042945,0.013333,0.113333,0.018405,0.018405,0.106667,0.147239,0.208589,0.066667,0.113333,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
