Hamming Loss,Subset Accuracy,Example-Based Precision,Example-Based Recall,Example-Based F Measure,Example-Based Accuracy,Example-Based Specificity,Micro-averaged Precision,Micro-averaged Recall,Micro-averaged F-Measure,Micro-averaged Specificity,Average Precision,Coverage,OneError,IsError,ErrorSetSize,Ranking Loss,Micro-averaged AUC,Logarithmic Loss,
0.19759999999999747,0.4525,0.62125,0.5504166666666668,0.5706666666666647,0.5406666666666667,0.8953750000000014,0.6185468451242829,0.5234627831715211,0.5670464504820333,0.8939957492029755,0.39536111111111544,3.0605,0.811,0.888,3.045,0.6960833333333337,0.3026369031344469,9.353046132008794,

Labels,desert,mountains,sea,sunset,trees,
Macro-averaged Precision,0.6403940886699507,0.629156010230179,0.5256673511293635,0.7884615384615384,0.5518018018018018,
Macro-averaged Recall,0.6356968215158925,0.537117903930131,0.4413793103448276,0.6172043010752688,0.4375,
Macro-averaged F-Measure,0.6380368098159509,0.5795053003533569,0.47985004686035615,0.6924004825090471,0.48804780876494025,
Macro-averaged Specificity,0.9082338152105593,0.9059662775616083,0.8373239436619718,0.9498371335504886,0.8618055555555556,
Mean Average Precision,0.27112603686854936,0.20268361778691008,0.2262579392430683,0.1469888385253418,0.19060304398175948,
Geometric Mean Average Precision,0.27112603686854936,0.20268361778691008,0.2262579392430683,0.1469888385253418,0.19060304398175948,
Mean Average Interpolated Precision,0.399268286395058,0.2887608679619006,0.3683926766138529,0.23670158906134514,0.3028107549709814,
Geometric Mean Average Interpolated Precision,0.399268286395058,0.2887608679619006,0.3683926766138529,0.23670158906134514,0.3028107549709814,
Macro-averaged AUC,0.23591365858381266,0.29316616541779233,0.36781993686255465,0.23252705684564465,0.3627641369047619,

